file1,file2,version1,version2,format1,format2,similarity,status,same_version_diff_format,same_format_diff_version
734026_730212_724283_Avishai_Rozen_-_Seasonal_Beats_-_AO-000336_-_Master_v3_-_260722_-_IV_-_ORG_-_2444.mp3,734056_730200_724282_Avishai_Rozen_-_Seasonal_Beats_-_AO-000336_-_Master_v3_-_230522_-_BOV_-_ORG_-_2444.mp3,IV,BOV,.MP3,.MP3,0.04113924050632911,❌ DIFFERENT,False,True
734026_730212_724283_Avishai_Rozen_-_Seasonal_Beats_-_AO-000336_-_Master_v3_-_260722_-_IV_-_ORG_-_2444.mp3,734057_730202_724290_Avishai_Rozen_-_Seasonal_Beats_-_AO-000336_-_Master_v3_-_260722_-_SV_No_LeadVocals-ORG-2444.mp3,IV,SV No LeadVocals,.MP3,.MP3,0.6656118143459916,📊 SIMILAR,False,True
734026_730212_724283_Avishai_Rozen_-_Seasonal_Beats_-_AO-000336_-_Master_v3_-_260722_-_IV_-_ORG_-_2444.mp3,734081_730200_724282_Avishai_Rozen_-_Seasonal_Beats_-_AO-000336_-_Master_v3_-_230522_-_BOV_-_ORG_-_2444.wav,IV,BOV,.MP3,.WAV,0.04113924050632911,❌ DIFFERENT,False,False
734026_730212_724283_Avishai_Rozen_-_Seasonal_Beats_-_AO-000336_-_Master_v3_-_260722_-_IV_-_ORG_-_2444.mp3,734082_730202_724290_Avishai_Rozen_-_Seasonal_Beats_-_AO-000336_-_Master_v3_-_260722_-_SV_No_LeadVocals-ORG-2444.wav,IV,SV No LeadVocals,.MP3,.WAV,0.6677215189873418,📊 SIMILAR,False,False
734026_730212_724283_Avishai_Rozen_-_Seasonal_Beats_-_AO-000336_-_Master_v3_-_260722_-_IV_-_ORG_-_2444.mp3,734083_730212_724283_Avishai_Rozen_-_Seasonal_Beats_-_AO-000336_-_Master_v3_-_260722_-_IV_-_ORG_-_2444.wav,IV,IV,.MP3,.WAV,1.0,🎯 NEARLY IDENTICAL,True,False
734056_730200_724282_Avishai_Rozen_-_Seasonal_Beats_-_AO-000336_-_Master_v3_-_230522_-_BOV_-_ORG_-_2444.mp3,734057_730202_724290_Avishai_Rozen_-_Seasonal_Beats_-_AO-000336_-_Master_v3_-_260722_-_SV_No_LeadVocals-ORG-2444.mp3,BOV,SV No LeadVocals,.MP3,.MP3,0.05590717299578059,❌ DIFFERENT,False,True
734056_730200_724282_Avishai_Rozen_-_Seasonal_Beats_-_AO-000336_-_Master_v3_-_230522_-_BOV_-_ORG_-_2444.mp3,734081_730200_724282_Avishai_Rozen_-_Seasonal_Beats_-_AO-000336_-_Master_v3_-_230522_-_BOV_-_ORG_-_2444.wav,BOV,BOV,.MP3,.WAV,1.0,🎯 NEARLY IDENTICAL,True,False
734056_730200_724282_Avishai_Rozen_-_Seasonal_Beats_-_AO-000336_-_Master_v3_-_230522_-_BOV_-_ORG_-_2444.mp3,734082_730202_724290_Avishai_Rozen_-_Seasonal_Beats_-_AO-000336_-_Master_v3_-_260722_-_SV_No_LeadVocals-ORG-2444.wav,BOV,SV No LeadVocals,.MP3,.WAV,0.05590717299578059,❌ DIFFERENT,False,False
734056_730200_724282_Avishai_Rozen_-_Seasonal_Beats_-_AO-000336_-_Master_v3_-_230522_-_BOV_-_ORG_-_2444.mp3,734083_730212_724283_Avishai_Rozen_-_Seasonal_Beats_-_AO-000336_-_Master_v3_-_260722_-_IV_-_ORG_-_2444.wav,BOV,IV,.MP3,.WAV,0.04113924050632911,❌ DIFFERENT,False,False
734057_730202_724290_Avishai_Rozen_-_Seasonal_Beats_-_AO-000336_-_Master_v3_-_260722_-_SV_No_LeadVocals-ORG-2444.mp3,734081_730200_724282_Avishai_Rozen_-_Seasonal_Beats_-_AO-000336_-_Master_v3_-_230522_-_BOV_-_ORG_-_2444.wav,SV No LeadVocals,BOV,.MP3,.WAV,0.05590717299578059,❌ DIFFERENT,False,False
